21.06.2016;42542;18;16;2.53
22.06.2016;42543;780;20;2.49
23.06.2016;42544;622;22;0.95
24.06.2016;42545;794;25;1.95
25.06.2016;42546;178;19;2.88
26.06.2016;42547;60;13;2.2
27.06.2016;42548;800;16;2.53
28.06.2016;42549;580;17;2.03
29.06.2016;42550;627;19;1.32
30.06.2016;42551;391;19;1.75
01.07.2016;42552;791;20;1.72
02.07.2016;42553;316;17;3.15
03.07.2016;42554;514;16;1.88
04.07.2016;42555;696;18;1.15
05.07.2016;42556;450;19;2.63
06.07.2016;42557;527;18;2.17
07.07.2016;42558;754;18;1.82
08.07.2016;42559;553;20;2.52
09.07.2016;42560;823;21;2.33
10.07.2016;42561;733;22;1.73
11.07.2016;42562;456;23;3.14
12.07.2016;42563;0;17;2.03
13.07.2016;42564;0;13;3.62
14.07.2016;42565;119;11;4.19
15.07.2016;42566;553;12;1.89
16.07.2016;42567;819;15;1.71
17.07.2016;42568;862;18;1.46
18.07.2016;42569;765;21;1.05
19.07.2016;42570;847;21;2.34
20.07.2016;42571;730;23;0.59
21.07.2016;42572;704;23;2.05
22.07.2016;42573;55;20;2.23
23.07.2016;42574;176;19;1.24
24.07.2016;42575;283;19;1.3
25.07.2016;42576;297;19;1.16
26.07.2016;42577;191;20;1.25
27.07.2016;42578;336;19;1.68
28.07.2016;42579;401;19;1.85
29.07.2016;42580;821;20;2.27
30.07.2016;42581;702;22;1.81
31.07.2016;42582;87;19;3.13
01.08.2016;42583;575;17;1.4
02.08.2016;42584;493;18;2.59
03.08.2016;42585;888;21;2.47
04.08.2016;42586;709;21;1.72
05.08.2016;42587;70;14;3.63
06.08.2016;42588;651;16;1.87
07.08.2016;42589;862;17;2.28
08.08.2016;42590;670;19;2.04
09.08.2016;42591;2;17;1.52
10.08.2016;42592;312;13;1.74
11.08.2016;42593;658;13;1.41
12.08.2016;42594;409;16;3.36
13.08.2016;42595;785;19;0.85
14.08.2016;42596;893;21;1.51
15.08.2016;42597;811;21;0.77
16.08.2016;42598;653;21;1.01
17.08.2016;42599;122;20;1.1
18.08.2016;42600;137;18;2.9
19.08.2016;42601;360;19;1.14
20.08.2016;42602;98;18;1.77
21.08.2016;42603;415;15;3.26
22.08.2016;42604;765;16;1.17
23.08.2016;42605;762;18;3.5
24.08.2016;42606;557;19;2.06
25.08.2016;42607;496;21;0.78
26.08.2016;42608;743;24;1.23
27.08.2016;42609;612;23;0.76
28.08.2016;42610;745;24;2.97
29.08.2016;42611;230;20;2.28
30.08.2016;42612;570;18;4.26
31.08.2016;42613;493;18;1.87
01.09.2016;42614;638;20;1.79
02.09.2016;42615;601;19;0.7
03.09.2016;42616;13;20;1.29
04.09.2016;42617;103;20;3.45
05.09.2016;42618;366;16;4.37
06.09.2016;42619;549;16;2.83
07.09.2016;42620;762;16;1.88
08.09.2016;42621;743;20;1.85
09.09.2016;42622;749;19;2.14
10.09.2016;42623;622;19;0.79
11.09.2016;42624;808;20;1.6
12.09.2016;42625;767;20;1.07
13.09.2016;42626;728;20;1.15
14.09.2016;42627;810;20;1.61
15.09.2016;42628;328;18;3
16.09.2016;42629;213;15;2.47
17.09.2016;42630;0;13;3.88
18.09.2016;42631;0;12;4.5
19.09.2016;42632;215;13;3.41
20.09.2016;42633;26;13;2.15
21.09.2016;42634;418;12;2.29
22.09.2016;42635;435;12;0.65
23.09.2016;42636;153;15;1.76
24.09.2016;42637;493;14;1.39
25.09.2016;42638;621;15;1.27
